dest,origin,1980,1990,2000,2010,2017
ECU,AGO,,,1,2,0
EGY,AGO,,,,1,0
ESP,AGO,,,176,29,10
ETH,AGO,,,3,,
FIN,AGO,,,94,206,139
FRA,AGO,,,1545,3097,3428
GAB,AGO,,,37,71,
GHA,AGO,,,1,,
GIN,AGO,,,,1,
GRC,AGO,,,0,0,0
GTM,AGO,,,1,,
GUY,AGO,,,,,0
HUN,AGO,,,8,17,5
IDN,AGO,,,1,,0
IND,AGO,,,,,0
IRL,AGO,,,22,355,236
ITA,AGO,,47,81,95,35
JPN,AGO,,,,0,
KEN,AGO,,,,,0
LUX,AGO,,,,0,15
LVA,AGO,,,,0,
MEX,AGO,,,9,3,0
MLI,AGO,,,,0,
MOZ,AGO,,,0,6,0
MRT,AGO,,,,2,0
MWI,AGO,,,,0,
MYS,AGO,,,,,0
NAM,AGO,,,27263,5904,
NGA,AGO,,,14,7,
NLD,AGO,,,2169,1930,58
NOR,AGO,,,11,168,35
NZL,AGO,,,,2,
PAN,AGO,,,0,,0
PER,AGO,,,,,0
POL,AGO,,,1,1,
PRT,AGO,,,16,4,0
QAT,AGO,,,1,1,0
ROU,AGO,,,,2,5
RUS,AGO,,,,18,0
RWA,AGO,,,0,3,5
SEN,AGO,,,4,1,0
SOM,AGO,,,0,,
SVK,AGO,,,22,1,24
SVN,AGO,,,0,,
SWE,AGO,,14,112,108,38
SWZ,AGO,,,99,95,11
TCD,AGO,,,1,,
TTO,AGO,,,,,0
TUR,AGO,,,,1,0
UGA,AGO,,,,,0
UKR,AGO,,,38,31,26
URY,AGO,,,,,0
USA,AGO,,133,134,201,157
YEM,AGO,,,2,,
ZAF,AGO,,,3897,5808,25
ZMB,AGO,22000,99083,198154,25265,0
ZWE,AGO,,,74,4,0
ARE,ALB,,,120,1479,2423
ARG,ALB,,,17,27,18
AUS,ALB,,,63,46,59
AUT,ALB,,,120,180,88
BEL,ALB,,,134,216,534
BGR,ALB,,,5,10,
BRA,ALB,,,,,0
CAN,ALB,,,625,2166,853
CHE,ALB,,,100,62,86
CHL,ALB,,,,,0
CYP,ALB,,,18,12,6
DEU,ALB,,,0,2275,983
DNK,ALB,,,8,56,5
ECU,ALB,,,,6,6
ESP,ALB,,,46,14,0
EST,ALB,,,,,0
FIN,ALB,,,,19,0
FRA,ALB,,,744,1556,4349
GRC,ALB,,,,2,150
HRV,ALB,,,,,0
HUN,ALB,,180,9,4,0
IDN,ALB,,,,0,
IRL,ALB,,,1,180,78
IRQ,ALB,,,,,0
ISL,ALB,,,4,12,6
ITA,ALB,71,531,958,177,538
LBN,ALB,,,,,0
LIE,ALB,,,,,0
LUX,ALB,,,,0,82
MEX,ALB,,,8,4,8
MLT,ALB,,,,,0
