dest,origin,1980,1990,2000,2010,2017
USA,ARM,0,0,2806,6637,1663
AUS,ASM,0,0,0,0,0
ARE,ATG,0,0,0,0,0
AUS,ATG,0,0,0,0,0
CAN,ATG,0,0,0,28,94
DEU,ATG,0,0,0,1,0
FRA,ATG,0,0,0,0,0
ITA,ATG,0,0,0,0,0
TTO,ATG,0,0,0,0,0
USA,ATG,0,0,1,1,0
ARE,AUS,0,0,0,0,0
AUS,AUS,0,0,1,0,0
AUT,AUS,0,0,0,0,0
BRA,AUS,0,0,0,0,0
CAN,AUS,0,0,0,3,0
CRI,AUS,0,0,0,0,0
DEU,AUS,0,0,0,33,0
GRC,AUS,0,0,0,0,0
ITA,AUS,0,0,0,0,0
SWE,AUS,0,0,0,1,0
USA,AUS,0,0,2,0,0
AUS,AUT,0,0,14,0,0
AUT,AUT,0,0,1,0,0
CAN,AUT,0,0,19,0,0
CHE,AUT,0,0,0,3,0
DEU,AUT,0,0,0,2,0
ECU,AUT,0,0,0,0,0
FRA,AUT,0,0,0,0,0
IRL,AUT,0,0,0,0,0
ISR,AUT,0,0,0,0,0
NLD,AUT,0,0,0,0,0
PAN,AUT,0,0,0,0,0
USA,AUT,0,0,1,5,0
ARE,AZE,0,0,0,75,79
ARG,AZE,0,0,0,0,0
ARM,AZE,0,0,280586,2347,2034
AUS,AZE,0,0,1,3,9
AUT,AZE,0,0,17,381,323
AZE,AZE,0,0,0,0,0
BEL,AZE,0,0,9,26,75
BGR,AZE,0,0,0,3,0
BIH,AZE,0,0,0,0,0
BLR,AZE,0,0,14,25,5
CAN,AZE,0,0,102,714,297
CHE,AZE,0,0,5,64,80
CYP,AZE,0,0,27,24,31
DEU,AZE,0,0,0,6326,3313
DNK,AZE,0,0,27,130,50
ECU,AZE,0,0,3,2,0
EGY,AZE,0,0,0,0,0
ESP,AZE,0,0,51,34,32
EST,AZE,0,0,0,0,0
FIN,AZE,0,0,16,53,43
FRA,AZE,0,0,95,2239,2916
GEO,AZE,0,0,13,2,6
GRC,AZE,0,0,0,13,0
HRV,AZE,0,0,0,0,5
HUN,AZE,0,0,0,5,16
IRL,AZE,0,0,8,26,15
ISL,AZE,0,0,0,0,0
ISR,AZE,0,0,0,0,0
ITA,AZE,0,0,7,41,62
KAZ,AZE,0,0,20,0,0
LTU,AZE,0,0,0,3,12
LUX,AZE,0,0,0,0,15
LVA,AZE,0,0,0,4,6
MAR,AZE,0,0,0,0,0
NIC,AZE,0,0,0,0,0
NLD,AZE,0,0,786,1887,253
NOR,AZE,0,0,29,68,46
PAK,AZE,0,0,0,0,0
POL,AZE,0,0,1,10,0
QAT,AZE,0,0,4,10,0
ROU,AZE,0,0,4,0,0
RUS,AZE,0,0,780,17,15
SVN,AZE,0,0,0,0,0
SWE,AZE,0,0,39,781,685
TKM,AZE,0,0,61,24,8
TUR,AZE,0,0,0,0,0
UKR,AZE,0,0,192,175,149
USA,AZE,0,0,1379,1236,298
UZB,AZE,0,0,1,5,0
AGO,BDI,0,0,6,14,9
ARE,BDI,0,0,0,1791,48
ARG,BDI,0,0,0,6,0
AUS,BDI,0,0,8,31,50
AUT,BDI,0,0,3,24,16
BDI,BDI,0,0,0,0,0
BEL,BDI,0,0,976,255,454
BEN,BDI,0,0,111,23,5
BFA,BDI,0,0,50,61,30
BGR,BDI,0,0,1,3,0
BRA,BDI,0,0,5,33,39
BWA,BDI,0,0,16,61,46
CAN,BDI,0,0,890,1968,2022
CHE,BDI,0,0,163,87,84
CHL,BDI,0,0,1,0,0
CHN,BDI,0,0,20,1,5
CIV,BDI,0,0,97,36,34
CMR,BDI,0,0,290,259,60
COG,BDI,0,0,130,70,98
CUB,BDI,0,0,1,0,0
CYM,BDI,0,0,59,26,24
CYP,BDI,0,0,0,1,0
CZE,BDI,11000,13293,19760,12845,44450
DEU,BDI,0,0,0,138,90
DJI,BDI,0,0,5,0,0
DNK,BDI,0,2,255,114,5
DZA,BDI,0,0,1,1,0
ECU,BDI,0,0,1,2,0
EGY,BDI,0,0,36,41,24
ESP,BDI,0,0,3,3,0
ETH,BDI,0,0,17,79,58
FIN,BDI,0,0,0,3,5
FRA,BDI,0,0,192,320,607
GAB,BDI,0,0,23,31,8
GBR,BDI,148620,154689,538448,47350,251227
GHA,BDI,0,0,7,1,10
GIN,BDI,0,0,11,7,0
GNB,BDI,0,0,0,5,11
GRC,BDI,0,0,0,6,18
HUN,BDI,0,0,0,2,0
IND,BDI,0,0,0,0,0
IRL,BDI,0,0,2,42,25
ISR,BDI,0,0,0,0,0
ITA,BDI,2,0,47,11,19
JPN,BDI,0,0,0,7,8
KAZ,BDI,0,0,0,0,0
KEN,BDI,0,50,146,765,1902
KHM,BDI,0,0,0,0,0
LSO,BDI,0,0,0,0,0
LUX,BDI,0,0,0,0,0
MAR,BDI,0,0,7,0,0
MDG,BDI,0,0,14,0,0
MEX,BDI,0,0,1,1,0
MLI,BDI,0,0,38,53,7
MOZ,BDI,0,0,64,934,982
MRT,BDI,0,0,0,0,0
MWI,BDI,0,0,608,1287,1649
MYS,BDI,0,0,1,1,0
NAM,BDI,0,0,0,178,275
NER,BDI,0,0,1,0,0
NGA,BDI,0,0,0,6,0
NLD,BDI,0,0,415,2223,236
NOR,BDI,0,0,64,414,74
NZL,BDI,0,0,30,1,0
PHL,BDI,0,0,0,0,10
POL,BDI,0,0,0,0,0
QAT,BDI,0,0,0,1,18
ROU,BDI,0,0,1,0,6
RWA,BDI,10150,23587,957,341,88209
SDN,BDI,0,0,0,2,15
SEN,BDI,0,0,79,51,55
SOM,BDI,0,0,0,0,0
SRB,BDI,0,0,0,0,0
SSD,BDI,0,0,0,0,0
SVK,BDI,0,0,2,1,0
SVN,BDI,0,0,0,1,0
SWE,BDI,0,0,38,1292,200
SWZ,BDI,0,0,152,170,160
TCD,BDI,0,0,2,0,0
TGO,BDI,0,0,61,9,0
THA,BDI,0,0,0,0,0
TUN,BDI,0,0,7,4,0
TUR,BDI,0,0,0,0,6
UGA,BDI,0,0,118,4950,38245
UKR,BDI,0,0,10,7,6
USA,BDI,0,1,797,474,747
VEN,BDI,0,0,0,2,0
YEM,BDI,0,0,2,0,0
ZAF,BDI,0,0,632,2412,3000
ZMB,BDI,0,0,1796,2175,3267
ZWE,BDI,0,0,406,551,622
AUS,BEL,0,0,2,0,0
BEL,BEL,0,0,0,0,0
BRA,BEL,0,0,0,0,0
CAN,BEL,0,0,10,16,14
DEU,BEL,0,0,0,6,6
ECU,BEL,0,0,0,0,0
IRL,BEL,0,0,3,11,0
NGA,BEL,0,0,0,0,0
NLD,BEL,0,0,0,1,0
NOR,BEL,0,0,0,1,0
RWA,BEL,0,0,0,0,0
SWE,BEL,0,0,0,15,0
USA,BEL,0,0,4,33,32
ARE,BEN,0,0,0,9,6
ARG,BEN,0,0,0,0,0
AUS,BEN,0,0,0,1,0
AUT,BEN,0,0,0,5,0
BDI,BEN,0,0,0,6,0
BEL,BEN,0,0,0,2,30
BFA,BEN,0,0,1,0,0
BGR,BEN,0,0,0,2,0
BRA,BEN,0,0,0,0,0
CAN,BEN,0,0,6,61,54
CHE,BEN,0,0,1,24,22
CHN,BEN,0,0,0,0,0
CIV,BEN,0,0,0,1,0
CMR,BEN,0,0,0,0,0
COL,BEN,0,0,0,1,0
CYP,BEN,0,0,0,0,0
DEU,BEN,0,0,0,181,73
DNK,BEN,0,1,2,0,0
DZA,BEN,0,0,0,0,0
ECU,BEN,0,0,0,0,0
EGY,BEN,0,0,0,0,0
ESP,BEN,0,0,0,0,0
EST,BEN,0,0,0,0,0
FIN,BEN,0,0,0,0,0
FRA,BEN,0,0,0,16,36
GAB,BEN,0,0,0,0,0
GHA,BEN,0,0,0,0,0
GRC,BEN,0,0,0,0,0
IRL,BEN,0,0,0,3,0
ISR,BEN,0,0,0,0,0
ITA,BEN,0,1,3,38,228
LBN,BEN,0,0,0,0,0
LUX,BEN,0,0,0,0,0
MAR,BEN,0,0,0,0,0
MEX,BEN,0,0,0,0,0
MLI,BEN,0,0,0,9,0
MRT,BEN,0,0,0,0,0
NGA,BEN,0,0,23,0,0
NLD,BEN,0,0,2,13,6
NOR,BEN,0,0,0,3,0
QAT,BEN,0,0,0,0,0
RWA,BEN,0,0,0,0,0
SDN,BEN,0,0,0,0,0
SEN,BEN,0,0,0,0,0
SVK,BEN,0,0,0,1,0
SWE,BEN,0,0,2,5,5
TCD,BEN,0,0,0,0,0
TGO,BEN,0,0,0,0,0
TTO,BEN,0,0,0,0,0
TUR,BEN,0,0,0,0,0
UKR,BEN,0,0,1,0,0
URY,BEN,0,0,0,0,0
USA,BEN,0,0,13,61,97
ZAF,BEN,0,0,0,0,0
AGO,BFA,0,0,0,0,0
ARE,BFA,0,0,0,4,5
ARG,BFA,0,0,0,0,0
AUS,BFA,0,0,0,0,0
AUT,BFA,0,0,0,7,9
BEL,BFA,0,0,6,24,76
BEN,BFA,0,0,9,1,0
BFA,BFA,0,0,0,0,0
BGR,BFA,0,0,0,0,0
BRA,BFA,0,0,2,1,0
CAN,BFA,0,0,19,140,95
