1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,iso3,lat,lon,name,,,,,
,,1000,1000,1000,150,2200,1230,11020,11800,11340,9680,9301,7776,7169,6164,6829,7924,8726,9836,11365,8799,9053,9020,9149,8970,9906,16240,27919,34384,34728,20558,19345,18213,16892,16079,15523,14786,14408,13956,13064,12480,IDN,-0.789275,113.921327,Indonesia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMN,54.236107,-4.548056,Isle of Man,,,,,
,,,,48,803,2480,5577,5244,88245,87921,10992,58259,52798,75889,130366,128781,115523,121287,112364,104129,93993,89979,86855,88278,92491,138364,122530,115171,99428,102483,68397,69061,72774,68791,72361,75940,75070,82191,84950,94094,118595,IRN,32.427908,53.688046,Iran (Islamic Rep. of),,,,,
,,560,31000,31098,66589,103766,103721,101724,401503,400745,410818,508468,507986,1133805,1321853,1343824,771077,749834,718719,714730,707338,675030,642886,526179,530511,422512,368580,311890,262299,1450905,2309245,1903519,1785212,1683579,1428308,746206,401466,369954,264094,316030,362506,IRQ,33.223191,43.679291,Iraq,,,,,
,,,,,,,,,,,,,,,,,,3,2,2,1,,,3,3,7,6,3,21,4,10,7,7,8,8,9,9,10,9,5,0,IRL,53.41291,-8.24389,Ireland,,,,,
,,,,,,,,,,,,4,4,16,28,40,118,887,937,1126,987,835,478,416,363,564,625,672,632,882,1541,1494,1310,1301,1335,1340,1041,979,802,495,459,ISR,31.046051,34.851612,Israel,,,,,
,,,,,,,,,,,,,,,,1,3,146,121,112,112,79,52,48,34,224,207,192,217,105,90,62,45,50,58,66,66,67,70,51,47,ITA,41.87194,12.56738,Italy,,,,,
,,,,,,,,,,,,,,,,,3,7,10,18,21,27,33,37,37,147,259,350,489,660,766,826,909,1057,1250,1407,1503,1692,1868,2005,2209,JAM,18.109581,-77.297508,Jamaica,,,,,
,,,,,,,,,,,,,,,,,,7,3,2,2,3,3,5,5,19,19,21,13,168,521,185,150,152,176,172,157,262,145,59,44,JPN,36.204824,138.252924,Japan,,,,,
,,,,,,,2,3,103,3,4,8,15,55,112,183,242,443,513,708,719,899,973,919,775,1287,1162,1170,1789,1603,1787,1890,2129,2254,2250,2368,1632,1718,1841,1933,2099,JOR,30.585164,36.238414,Jordan,,,,,
,,,,,,,,,,,,,,,,1,2,27,139,40163,40774,20459,9057,2537,2803,6315,6559,6121,4316,7377,5235,4825,3744,3632,3500,3571,2123,2224,2267,2364,2386,KAZ,48.019573,66.923684,Kazakhstan,,,,,
,1200,80,80,,,,,,,,,2,2,10,33,63,85,8774,9327,9390,9570,6046,6138,2373,2559,3098,3163,3847,4640,5357,7546,9688,9620,8602,8745,8950,8586,8553,7906,7535,7547,KEN,-0.023559,37.906193,Kenya,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,32,33,41,38,38,33,33,33,33,20,3,2,1,,KIR,1.8668577,-157.3599202,Kiribati,,,,,
,,,,,,,,,,,,,,44,47,74,89,756,762,854,825,830,992,692,701,709,616,398,381,617,746,854,938,988,1120,1197,977,981,1085,1021,1082,KWT,29.31166,47.481766,Kuwait,,,,,
,,,,,,,,,,,,,,,,,1,14,22,17118,16320,7449,4003,748,685,2950,3141,3284,3122,2488,2254,2517,2612,2744,3162,3489,2301,2451,2502,2573,2756,KGZ,41.20438,74.766098,Kyrgyzstan,,,,,
62720,78970,119180,128770,105256,89990,80588,85043,86673,99303,91214,78894,135866,133496,135633,122326,96157,74501,54896,58193,46909,37367,29017,21396,16094,12631,11235,10363,16114,24442,26447,10013,8598,8398,8414,8088,7984,7745,7482,7363,7232,7051,LAO,19.85627,102.495496,Lao People's Dem. Rep.,,,,,
,,,,,,,,,,,,,,,,4,4,93,160,1958,1915,1013,907,491,619,3082,3177,2826,2430,1424,662,763,791,713,709,662,233,213,193,172,157,LVA,56.879635,24.603189,Latvia,,,,,
,,,,,,12590,27270,30060,33140,630,,439,2197,6993,8501,10257,10635,15654,13515,10890,10235,9786,7685,10215,8763,26320,24932,19865,18323,12252,13094,12967,16260,15869,15013,15106,3819,4273,4369,4740,5287,LBN,33.854721,35.862285,Lebanon,,,,,
,90,160,160,70,80,,,,,,,,4,4,4,,55,,,2,3,3,3,4,1,4,6,7,6,8,7,8,10,11,11,13,15,17,17,12,6,LSO,-29.609988,28.233608,Lesotho,,,,,
,,,,,,,,,,,,30,51,735689,673435,520915,704051,797835,744637,784008,493340,365398,294694,266930,244608,275422,353344,335470,231139,160548,91540,75213,71599,70129,66780,23428,17558,13572,9991,6573,5989,LBR,6.428055,-9.429499,Liberia,,,,,
,,,,205,226,259,275,291,327,304,250,659,655,581,840,686,597,672,624,281,274,433,568,619,888,1456,1570,1713,1575,1573,1954,2084,2202,2309,4384,5251,3314,4203,6090,8836,11185,LBY,26.3351,17.228331,Libya,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIE,47.166,9.555373,Liechtenstein,,,,,
,,,,1,1,1,1,1,1,,,,,4,4,8,11,63,109,662,649,282,258,163,216,1371,1541,1476,1448,942,466,490,501,515,528,491,220,183,144,73,63,LTU,55.169438,23.881275,Lithuania,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,1,2,2,2,,LUX,49.815273,6.129583,Luxembourg,,,,,
,,,,,,,,,,,,,,,1,1,1,3,79,79,76,66,54,54,40,53,88,135,203,260,284,277,274,270,289,301,296,281,286,297,277,MDG,-18.766947,46.869107,Madagascar,,,,,
60,1050,310,460,420,70,240,440,440,450,440,450,4,4,53,50,50,44,60,37,39,34,28,34,33,25,48,59,94,101,113,97,106,130,171,222,277,326,361,426,427,419,MWI,-13.254308,34.301525,Malawi,,,,,
,,,,,,,,,,,,,,,3,4,4,82,79,103,87,90,86,82,79,119,239,292,394,584,615,608,532,552,537,531,485,468,439,456,530,MYS,4.210484,101.975766,Malaysia,,,,,
,,,,,,,,,,,,1,1,1,1,,,,,1,1,2,3,4,3,3,1,3,13,16,17,16,16,19,21,24,31,36,42,57,54,MDV,1.9772469,73.5361035,Maldives,,,,,
,,,,,,,,,,,,,,1,14704,71189,98572,172905,77219,55198,18015,3702,387,364,311,531,461,483,520,594,4494,1758,2926,3663,4295,149943,152828,139267,154213,156428,150285,MLI,17.570692,-3.996166,Mali,,,,,
,,,,,,,,,,,,1,1,1,1,1,,7,13,18,14,17,22,16,7,8,7,3,5,28,9,9,9,6,6,6,6,5,1,0,0,MLT,35.937496,14.375416,Malta,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,7,MHL,7.131474,171.184478,Marshall Islands,,,,,
,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,MRT,21.00789,-10.940835,Martinique,,,,,
,,,,,,,,1,1,1,1,2,48238,65999,79881,79594,67894,68043,84312,83234,70294,70224,29948,29752,29862,30137,30525,31112,31651,33428,33108,45601,39143,37733,39929,33765,34252,34113,34660,36266,36495,,,,Mauritania,,,,,
,,,,,,,,,,,,,,,,,,1,13,13,3,15,8,35,35,43,61,19,27,80,71,24,23,28,42,62,81,94,103,111,125,MUS,-20.348404,57.552152,Mauritius,,,,,
,,,,,,,,,,,,,,,,,,248,361,520,665,1016,1359,1291,1594,1670,1652,1744,2313,3304,5572,6162,6435,6816,7472,8435,9390,10666,11333,10385,11659,MEX,23.634501,-102.552784,Mexico,,,,,
